Time	Node	Type	Packets	
176.5	Router0	CacheMisses	86
177	Router0	CacheHits	0
177	Router0	CacheMisses	92
177.5	Router0	CacheHits	0
177.5	Router0	CacheMisses	88
178	Router0	CacheHits	0
178	Router0	CacheMisses	90
178.5	Router0	CacheHits	0
178.5	Router0	CacheMisses	86
179	Router0	CacheHits	0
179	Router0	CacheMisses	87
179.5	Router0	CacheHits	2
179.5	Router0	CacheMisses	86
180	Router0	CacheHits	38
180	Router0	CacheMisses	50
180.5	Router0	CacheHits	41
180.5	Router0	CacheMisses	47
181	Router0	CacheHits	13
181	Router0	CacheMisses	75
181.5	Router0	CacheHits	45
181.5	Router0	CacheMisses	43
182	Router0	CacheHits	44
182	Router0	CacheMisses	46
182.5	Router0	CacheHits	45
182.5	Router0	CacheMisses	45
183	Router0	CacheHits	46
183	Router0	CacheMisses	42
183.5	Router0	CacheHits	41
183.5	Router0	CacheMisses	43
184	Router0	CacheHits	44
184	Router0	CacheMisses	44
184.5	Router0	CacheHits	44
184.5	Router0	CacheMisses	41
185	Router0	CacheHits	30
185	Router0	CacheMisses	57
185.5	Router0	CacheHits	30
185.5	Router0	CacheMisses	54
186	Router0	CacheHits	48
186	Router0	CacheMisses	40
186.5	Router0	CacheHits	68
186.5	Router0	CacheMisses	22
187	Router0	CacheHits	45
187	Router0	CacheMisses	45
187.5	Router0	CacheHits	17
187.5	Router0	CacheMisses	73
188	Router0	CacheHits	41
188	Router0	CacheMisses	45
188.5	Router0	CacheHits	54
188.5	Router0	CacheMisses	35
189	Router0	CacheHits	51
189	Router0	CacheMisses	41
189.5	Router0	CacheHits	10
189.5	Router0	CacheMisses	77
190	Router0	CacheHits	46
190	Router0	CacheMisses	43
190.5	Router0	CacheHits	91
190.5	Router0	CacheMisses	0
191	Router0	CacheHits	51
191	Router0	CacheMisses	36
191.5	Router0	CacheHits	4
191.5	Router0	CacheMisses	81
192	Router0	CacheHits	43
192	Router0	CacheMisses	45
192.5	Router0	CacheHits	76
192.5	Router0	CacheMisses	13
193	Router0	CacheHits	20
193	Router0	CacheMisses	36
193.5	Router0	CacheHits	0
193.5	Router0	CacheMisses	83
194	Router0	CacheHits	0
194	Router0	CacheMisses	88
194.5	Router0	CacheHits	0
194.5	Router0	CacheMisses	92
195	Router0	CacheHits	0
195	Router0	CacheMisses	90
195.5	Router0	CacheHits	0
195.5	Router0	CacheMisses	90
196	Router0	CacheHits	0
196	Router0	CacheMisses	91
196.5	Router0	CacheHits	0
196.5	Router0	CacheMisses	89
