Time	Node	Type	Packets	
132.5	RouterNet	CacheMisses	130
133	RouterNet	CacheHits	0
133	RouterNet	CacheMisses	131
133.5	RouterNet	CacheHits	0
133.5	RouterNet	CacheMisses	138
134	RouterNet	CacheHits	0
134	RouterNet	CacheMisses	131
134.5	RouterNet	CacheHits	0
134.5	RouterNet	CacheMisses	135
135	RouterNet	CacheHits	0
135	RouterNet	CacheMisses	134
135.5	RouterNet	CacheHits	0
135.5	RouterNet	CacheMisses	127
136	RouterNet	CacheHits	0
136	RouterNet	CacheMisses	135
136.5	RouterNet	CacheHits	0
136.5	RouterNet	CacheMisses	133
137	RouterNet	CacheHits	0
137	RouterNet	CacheMisses	132
137.5	RouterNet	CacheHits	0
137.5	RouterNet	CacheMisses	133
138	RouterNet	CacheHits	0
138	RouterNet	CacheMisses	129
138.5	RouterNet	CacheHits	0
138.5	RouterNet	CacheMisses	136
139	RouterNet	CacheHits	0
139	RouterNet	CacheMisses	101
139.5	RouterNet	CacheHits	0
139.5	RouterNet	CacheMisses	136
140	RouterNet	CacheHits	0
140	RouterNet	CacheMisses	137
140.5	RouterNet	CacheHits	0
140.5	RouterNet	CacheMisses	133
141	RouterNet	CacheHits	0
141	RouterNet	CacheMisses	128
141.5	RouterNet	CacheHits	0
141.5	RouterNet	CacheMisses	137
142	RouterNet	CacheHits	0
142	RouterNet	CacheMisses	129
142.5	RouterNet	CacheHits	0
142.5	RouterNet	CacheMisses	137
143	RouterNet	CacheHits	0
143	RouterNet	CacheMisses	131
143.5	RouterNet	CacheHits	0
143.5	RouterNet	CacheMisses	135
144	RouterNet	CacheHits	0
144	RouterNet	CacheMisses	135
144.5	RouterNet	CacheHits	0
144.5	RouterNet	CacheMisses	131
145	RouterNet	CacheHits	0
145	RouterNet	CacheMisses	137
145.5	RouterNet	CacheHits	0
145.5	RouterNet	CacheMisses	130
146	RouterNet	CacheHits	0
146	RouterNet	CacheMisses	136
146.5	RouterNet	CacheHits	0
146.5	RouterNet	CacheMisses	130
147	RouterNet	CacheHits	0
147	RouterNet	CacheMisses	135
147.5	RouterNet	CacheHits	0
147.5	RouterNet	CacheMisses	134
148	RouterNet	CacheHits	0
148	RouterNet	CacheMisses	131
148.5	RouterNet	CacheHits	0
148.5	RouterNet	CacheMisses	130
149	RouterNet	CacheHits	0
149	RouterNet	CacheMisses	136
149.5	RouterNet	CacheHits	0
149.5	RouterNet	CacheMisses	137
150	RouterNet	CacheHits	0
150	RouterNet	CacheMisses	134
150.5	RouterNet	CacheHits	0
150.5	RouterNet	CacheMisses	127
151	RouterNet	CacheHits	0
151	RouterNet	CacheMisses	128
151.5	RouterNet	CacheHits	0
151.5	RouterNet	CacheMisses	138
152	RouterNet	CacheHits	0
152	RouterNet	CacheMisses	129
152.5	RouterNet	CacheHits	0
152.5	RouterNet	CacheMisses	132
153	RouterNet	CacheHits	0
153	RouterNet	CacheMisses	132
153.5	RouterNet	CacheHits	0
153.5	RouterNet	CacheMisses	132
154	RouterNet	CacheHits	0
154	RouterNet	CacheMisses	130
154.5	RouterNet	CacheHits	0
154.5	RouterNet	CacheMisses	135
155	RouterNet	CacheHits	0
155	RouterNet	CacheMisses	130
155.5	RouterNet	CacheHits	0
155.5	RouterNet	CacheMisses	131
156	RouterNet	CacheHits	0
156	RouterNet	CacheMisses	134
156.5	RouterNet	CacheHits	0
156.5	RouterNet	CacheMisses	134
157	RouterNet	CacheHits	0
157	RouterNet	CacheMisses	131
157.5	RouterNet	CacheHits	0
157.5	RouterNet	CacheMisses	130
158	RouterNet	CacheHits	0
158	RouterNet	CacheMisses	131
158.5	RouterNet	CacheHits	0
158.5	RouterNet	CacheMisses	133
159	RouterNet	CacheHits	0
