Time	Node	Type	Packets	
112.5	Router1	CacheMisses	46
113	Router1	CacheHits	0
113	Router1	CacheMisses	44
113.5	Router1	CacheHits	0
113.5	Router1	CacheMisses	43
114	Router1	CacheHits	0
114	Router1	CacheMisses	45
114.5	Router1	CacheHits	0
114.5	Router1	CacheMisses	46
115	Router1	CacheHits	0
115	Router1	CacheMisses	44
115.5	Router1	CacheHits	0
115.5	Router1	CacheMisses	45
116	Router1	CacheHits	0
116	Router1	CacheMisses	44
116.5	Router1	CacheHits	0
116.5	Router1	CacheMisses	44
117	Router1	CacheHits	0
117	Router1	CacheMisses	45
117.5	Router1	CacheHits	0
117.5	Router1	CacheMisses	46
118	Router1	CacheHits	0
118	Router1	CacheMisses	43
118.5	Router1	CacheHits	0
118.5	Router1	CacheMisses	44
119	Router1	CacheHits	0
119	Router1	CacheMisses	45
119.5	Router1	CacheHits	0
119.5	Router1	CacheMisses	44
120	Router1	CacheHits	0
120	Router1	CacheMisses	43
120.5	Router1	CacheHits	0
120.5	Router1	CacheMisses	46
121	Router1	CacheHits	0
121	Router1	CacheMisses	45
121.5	Router1	CacheHits	0
121.5	Router1	CacheMisses	42
122	Router1	CacheHits	0
122	Router1	CacheMisses	46
122.5	Router1	CacheHits	0
122.5	Router1	CacheMisses	43
123	Router1	CacheHits	0
123	Router1	CacheMisses	46
123.5	Router1	CacheHits	0
123.5	Router1	CacheMisses	43
124	Router1	CacheHits	0
124	Router1	CacheMisses	45
124.5	Router1	CacheHits	0
124.5	Router1	CacheMisses	44
125	Router1	CacheHits	0
125	Router1	CacheMisses	44
125.5	Router1	CacheHits	0
125.5	Router1	CacheMisses	44
126	Router1	CacheHits	0
126	Router1	CacheMisses	45
126.5	Router1	CacheHits	0
126.5	Router1	CacheMisses	45
127	Router1	CacheHits	0
127	Router1	CacheMisses	44
127.5	Router1	CacheHits	0
127.5	Router1	CacheMisses	44
128	Router1	CacheHits	0
128	Router1	CacheMisses	45
128.5	Router1	CacheHits	0
128.5	Router1	CacheMisses	46
129	Router1	CacheHits	0
129	Router1	CacheMisses	45
129.5	Router1	CacheHits	0
129.5	Router1	CacheMisses	43
130	Router1	CacheHits	0
130	Router1	CacheMisses	45
130.5	Router1	CacheHits	0
130.5	Router1	CacheMisses	45
131	Router1	CacheHits	0
131	Router1	CacheMisses	44
131.5	Router1	CacheHits	0
131.5	Router1	CacheMisses	43
132	Router1	CacheHits	0
132	Router1	CacheMisses	44
132.5	Router1	CacheHits	0
132.5	Router1	CacheMisses	43
133	Router1	CacheHits	0
133	Router1	CacheMisses	46
133.5	Router1	CacheHits	0
133.5	Router1	CacheMisses	45
134	Router1	CacheHits	0
134	Router1	CacheMisses	46
134.5	Router1	CacheHits	0
134.5	Router1	CacheMisses	41
135	Router1	CacheHits	0
135	Router1	CacheMisses	46
135.5	Router1	CacheHits	0
135.5	Router1	CacheMisses	45
136	Router1	CacheHits	0
136	Router1	CacheMisses	42
136.5	Router1	CacheHits	0
136.5	Router1	CacheMisses	46
137	Router1	CacheHits	0
137	Router1	CacheMisses	45
137.5	Router1	CacheHits	0
137.5	Router1	CacheMisses	44
138	Router1	CacheHits	0
138	Router1	CacheMisses	43
138.5	Router1	CacheHits	0
138.5	Router1	CacheMisses	44
139	Router1	CacheHits	0
139	Router1	CacheMisses	45
139.5	Router1	CacheHits	0
139.5	Router1	CacheMisses	46
140	Router1	CacheHits	0
140	Router1	CacheMisses	45
140.5	Router1	CacheHits	0
140.5	Router1	CacheMisses	46
141	Router1	CacheHits	0
141	Router1	CacheMisses	45
141.5	Router1	CacheHits	0
141.5	Router1	CacheMisses	44
142	Router1	CacheHits	0
142	Router1	CacheMisses	45
142.5	Router1	CacheHits	0
142.5	Router1	CacheMisses	46
143	Router1	CacheHits	0
143	Router1	CacheMisses	43
143.5	Router1	CacheHits	0
143.5	Router1	CacheMisses	46
144	Router1	CacheHits	0
144	Router1	CacheMisses	43
144.5	Router1	CacheHits	0
144.5	Router1	CacheMisses	46
145	Router1	CacheHits	0
145	Router1	CacheMisses	44
145.5	Router1	CacheHits	0
145.5	Router1	CacheMisses	45
146	Router1	CacheHits	0
146	Router1	CacheMisses	46
146.5	Router1	CacheHits	0
146.5	Router1	CacheMisses	45
147	Router1	CacheHits	0
147	Router1	CacheMisses	46
147.5	Router1	CacheHits	0
147.5	Router1	CacheMisses	43
148	Router1	CacheHits	0
148	Router1	CacheMisses	44
148.5	Router1	CacheHits	0
148.5	Router1	CacheMisses	45
149	Router1	CacheHits	0
149	Router1	CacheMisses	46
149.5	Router1	CacheHits	0
149.5	Router1	CacheMisses	43
150	Router1	CacheHits	0
150	Router1	CacheMisses	43
150.5	Router1	CacheHits	0
150.5	Router1	CacheMisses	44
151	Router1	CacheHits	0
151	Router1	CacheMisses	45
151.5	Router1	CacheHits	0
151.5	Router1	CacheMisses	44
152	Router1	CacheHits	0
152	Router1	CacheMisses	45
152.5	Router1	CacheHits	0
152.5	Router1	CacheMisses	44
153	Router1	CacheHits	0
153	Router1	CacheMisses	43
153.5	Router1	CacheHits	0
153.5	Router1	CacheMisses	43
154	Router1	CacheHits	0
154	Router1	CacheMisses	46
154.5	Router1	CacheHits	0
154.5	Router1	CacheMisses	43
155	Router1	CacheHits	0
155	Router1	CacheMisses	46
155.5	Router1	CacheHits	0
155.5	Router1	CacheMisses	46
156	Router1	CacheHits	0
156	Router1	CacheMisses	43
156.5	Router1	CacheHits	0
156.5	Router1	CacheMisses	44
157	Router1	CacheHits	0
157	Router1	CacheMisses	46
157.5	Router1	CacheHits	0
157.5	Router1	CacheMisses	46
158	Router1	CacheHits	0
158	Router1	CacheMisses	44
158.5	Router1	CacheHits	0
158.5	Router1	CacheMisses	45
159	Router1	CacheHits	0
159	Router1	CacheMisses	44
159.5	Router1	CacheHits	2
159.5	Router1	CacheMisses	41
160	Router1	CacheHits	0
160	Router1	CacheMisses	46
160.5	Router1	CacheHits	0
160.5	Router1	CacheMisses	45
161	Router1	CacheHits	0
161	Router1	CacheMisses	42
161.5	Router1	CacheHits	0
161.5	Router1	CacheMisses	45
162	Router1	CacheHits	0
162	Router1	CacheMisses	44
162.5	Router1	CacheHits	0
162.5	Router1	CacheMisses	45
163	Router1	CacheHits	0
163	Router1	CacheMisses	44
163.5	Router1	CacheHits	0
163.5	Router1	CacheMisses	45
164	Router1	CacheHits	0
164	Router1	CacheMisses	46
164.5	Router1	CacheHits	2
164.5	Router1	CacheMisses	41
165	Router1	CacheHits	0
165	Router1	CacheMisses	46
165.5	Router1	CacheHits	0
165.5	Router1	CacheMisses	45
166	Router1	CacheHits	2
166	Router1	CacheMisses	42
166.5	Router1	CacheHits	0
166.5	Router1	CacheMisses	45
167	Router1	CacheHits	0
167	Router1	CacheMisses	46
167.5	Router1	CacheHits	0
167.5	Router1	CacheMisses	45
168	Router1	CacheHits	0
168	Router1	CacheMisses	42
168.5	Router1	CacheHits	0
168.5	Router1	CacheMisses	44
169	Router1	CacheHits	0
169	Router1	CacheMisses	42
169.5	Router1	CacheHits	0
169.5	Router1	CacheMisses	44
170	Router1	CacheHits	0
170	Router1	CacheMisses	43
170.5	Router1	CacheHits	0
170.5	Router1	CacheMisses	45
171	Router1	CacheHits	0
171	Router1	CacheMisses	44
171.5	Router1	CacheHits	0
171.5	Router1	CacheMisses	43
172	Router1	CacheHits	0
172	Router1	CacheMisses	45
172.5	Router1	CacheHits	0
172.5	Router1	CacheMisses	44
173	Router1	CacheHits	0
173	Router1	CacheMisses	45
173.5	Router1	CacheHits	0
173.5	Router1	CacheMisses	46
174	Router1	CacheHits	2
174	Router1	CacheMisses	41
174.5	Router1	CacheHits	2
174.5	Router1	CacheMisses	44
175	Router1	CacheHits	0
175	Router1	CacheMisses	46
175.5	Router1	CacheHits	0
175.5	Router1	CacheMisses	45
176	Router1	CacheHits	0
176	Router1	CacheMisses	46
176.5	Router1	CacheHits	0
176.5	Router1	CacheMisses	45
177	Router1	CacheHits	0
177	Router1	CacheMisses	46
177.5	Router1	CacheHits	2
177.5	Router1	CacheMisses	42
178	Router1	CacheHits	2
178	Router1	CacheMisses	41
178.5	Router1	CacheHits	0
178.5	Router1	CacheMisses	43
179	Router1	CacheHits	0
179	Router1	CacheMisses	46
179.5	Router1	CacheHits	0
179.5	Router1	CacheMisses	45
180	Router1	CacheHits	0
180	Router1	CacheMisses	44
180.5	Router1	CacheHits	0
180.5	Router1	CacheMisses	43
181	Router1	CacheHits	2
181	Router1	CacheMisses	41
181.5	Router1	CacheHits	0
181.5	Router1	CacheMisses	46
182	Router1	CacheHits	2
182	Router1	CacheMisses	43
182.5	Router1	CacheHits	0
182.5	Router1	CacheMisses	46
183	Router1	CacheHits	2
183	Router1	CacheMisses	43
183.5	Router1	CacheHits	2
183.5	Router1	CacheMisses	44
184	Router1	CacheHits	2
184	Router1	CacheMisses	44
184.5	Router1	CacheHits	2
184.5	Router1	CacheMisses	43
185	Router1	CacheHits	0
185	Router1	CacheMisses	41
185.5	Router1	CacheHits	0
185.5	Router1	CacheMisses	43
186	Router1	CacheHits	0
186	Router1	CacheMisses	46
186.5	Router1	CacheHits	0
186.5	Router1	CacheMisses	43
187	Router1	CacheHits	0
187	Router1	CacheMisses	46
187.5	Router1	CacheHits	0
187.5	Router1	CacheMisses	41
188	Router1	CacheHits	0
188	Router1	CacheMisses	46
188.5	Router1	CacheHits	0
188.5	Router1	CacheMisses	45
189	Router1	CacheHits	0
189	Router1	CacheMisses	44
189.5	Router1	CacheHits	0
189.5	Router1	CacheMisses	45
190	Router1	CacheHits	0
190	Router1	CacheMisses	44
190.5	Router1	CacheHits	0
190.5	Router1	CacheMisses	43
191	Router1	CacheHits	0
191	Router1	CacheMisses	43
191.5	Router1	CacheHits	0
191.5	Router1	CacheMisses	44
192	Router1	CacheHits	0
192	Router1	CacheMisses	43
192.5	Router1	CacheHits	0
192.5	Router1	CacheMisses	42
193	Router1	CacheHits	0
193	Router1	CacheMisses	44
193.5	Router1	CacheHits	0
193.5	Router1	CacheMisses	43
194	Router1	CacheHits	0
194	Router1	CacheMisses	44
194.5	Router1	CacheHits	0
194.5	Router1	CacheMisses	45
195	Router1	CacheHits	0
195	Router1	CacheMisses	46
195.5	Router1	CacheHits	0
195.5	Router1	CacheMisses	45
196	Router1	CacheHits	0
196	Router1	CacheMisses	46
196.5	Router1	CacheHits	0
196.5	Router1	CacheMisses	43
197	Router1	CacheHits	0
197	Router1	CacheMisses	46
197.5	Router1	CacheHits	0
197.5	Router1	CacheMisses	45
198	Router1	CacheHits	0
198	Router1	CacheMisses	46
198.5	Router1	CacheHits	0
198.5	Router1	CacheMisses	45
199	Router1	CacheHits	0
199	Router1	CacheMisses	46
199.5	Router1	CacheHits	0
199.5	Router1	CacheMisses	45
200	Router1	CacheHits	0
200	Router1	CacheMisses	44
200.5	Router1	CacheHits	0
200.5	Router1	CacheMisses	46
201	Router1	CacheHits	0
201	Router1	CacheMisses	45
201.5	Router1	CacheHits	0
201.5	Router1	CacheMisses	46
202	Router1	CacheHits	0
202	Router1	CacheMisses	45
202.5	Router1	CacheHits	0
202.5	Router1	CacheMisses	46
203	Router1	CacheHits	0
203	Router1	CacheMisses	45
203.5	Router1	CacheHits	0
203.5	Router1	CacheMisses	44
204	Router1	CacheHits	0
204	Router1	CacheMisses	43
204.5	Router1	CacheHits	0
204.5	Router1	CacheMisses	44
205	Router1	CacheHits	0
205	Router1	CacheMisses	45
205.5	Router1	CacheHits	0
205.5	Router1	CacheMisses	44
206	Router1	CacheHits	0
206	Router1	CacheMisses	43
206.5	Router1	CacheHits	0
206.5	Router1	CacheMisses	43
207	Router1	CacheHits	0
207	Router1	CacheMisses	46
207.5	Router1	CacheHits	0
207.5	Router1	CacheMisses	45
208	Router1	CacheHits	0
208	Router1	CacheMisses	42
208.5	Router1	CacheHits	0
208.5	Router1	CacheMisses	43
209	Router1	CacheHits	0
209	Router1	CacheMisses	46
209.5	Router1	CacheHits	0
209.5	Router1	CacheMisses	45
210	Router1	CacheHits	0
210	Router1	CacheMisses	46
210.5	Router1	CacheHits	2
210.5	Router1	CacheMisses	42
211	Router1	CacheHits	2
211	Router1	CacheMisses	43
211.5	Router1	CacheHits	0
211.5	Router1	CacheMisses	44
212	Router1	CacheHits	0
212	Router1	CacheMisses	45
212.5	Router1	CacheHits	0
212.5	Router1	CacheMisses	44
213	Router1	CacheHits	0
213	Router1	CacheMisses	45
213.5	Router1	CacheHits	0
213.5	Router1	CacheMisses	46
214	Router1	CacheHits	0
214	Router1	CacheMisses	44
214.5	Router1	CacheHits	0
214.5	Router1	CacheMisses	45
215	Router1	CacheHits	0
215	Router1	CacheMisses	44
215.5	Router1	CacheHits	0
215.5	Router1	CacheMisses	43
216	Router1	CacheHits	0
216	Router1	CacheMisses	46
216.5	Router1	CacheHits	0
216.5	Router1	CacheMisses	43
217	Router1	CacheHits	0
217	Router1	CacheMisses	45
217.5	Router1	CacheHits	0
217.5	Router1	CacheMisses	44
218	Router1	CacheHits	0
218	Router1	CacheMisses	44
218.5	Router1	CacheHits	0
218.5	Router1	CacheMisses	45
219	Router1	CacheHits	0
219	Router1	CacheMisses	44
219.5	Router1	CacheHits	0
219.5	Router1	CacheMisses	46
220	Router1	CacheHits	0
220	Router1	CacheMisses	43
220.5	Router1	CacheHits	0
220.5	Router1	CacheMisses	46
221	Router1	CacheHits	0
221	Router1	CacheMisses	44
221.5	Router1	CacheHits	0
221.5	Router1	CacheMisses	43
222	Router1	CacheHits	0
222	Router1	CacheMisses	45
222.5	Router1	CacheHits	0
222.5	Router1	CacheMisses	46
223	Router1	CacheHits	0
223	Router1	CacheMisses	45
223.5	Router1	CacheHits	0
223.5	Router1	CacheMisses	46
224	Router1	CacheHits	0
224	Router1	CacheMisses	45
224.5	Router1	CacheHits	2
224.5	Router1	CacheMisses	42
